Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
88,Missouri St.,9.32,107.8,98.5,69.1,0.039,3.85,104.0,100.1,-12.01,2021
89,Colgate ,9.25,110.3,101.0,72.2,0.048,-5.8,99.6,105.4,-99.0,2021
90,Pepperdine,9.04,108.3,99.3,71.4,0.002,9.52,107.1,97.6,9.71,2021
91,Nevada,8.98,108.8,99.9,69.8,-0.012,6.26,104.7,98.5,7.37,2021
92,Marshall,8.89,109.2,100.3,72.6,-0.068,1.45,102.9,101.4,0.58,2021
93,San Francisco,8.86,106.9,98.0,67.7,-0.10400000000000001,8.22,106.8,98.5,5.87,2021
94,Loyola Marymount,8.8,107.8,99.0,66.0,0.033,8.41,105.6,97.2,6.76,2021
95,Georgia,8.69,107.9,99.2,73.2,0.048,12.37,107.9,95.5,-6.05,2021
96,Furman,8.64,109.8,101.1,67.7,-0.086,2.56,104.3,101.8,2.7,2021
97,Pittsburgh,8.64,108.2,99.5,68.3,-0.068,10.58,108.3,97.7,-4.78,2021
98,Liberty ,8.6,109.8,101.2,63.1,-0.023,-4.82,99.5,104.3,1.58,2021
99,Western Kentucky,8.57,106.6,98.0,67.4,0.083,4.32,103.6,99.3,10.37,2021
100,UCF,8.54,106.5,97.9,67.2,0.053,12.76,107.1,94.3,24.7,2021
101,Winthrop ,8.48,105.0,96.5,73.1,0.036000000000000004,-5.62,99.6,105.2,4.18,2021
102,UAB,8.44,103.5,95.0,67.0,0.005,-1.59,100.1,101.7,-12.09,2021
